"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"@Starbucks Please read the voice of HongKonger<U+0001F64F>
Better agent with higher income!! No more Maxim please<U+0001F97A><U+0001F97A><U+0001F97A>… https://t.co/QMDae1vW7U",FALSE,1,"Starbucks",2019-10-14 14:47:48,TRUE,NA,"1183756294106169345","30973","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","whc53929496",0,FALSE,FALSE,NA,NA
"Well...at least they have some of my favorite drinks here at my “Plan B” coworking space. #starbucks… https://t.co/lO2nN6Zarn",FALSE,4,"paulmgower",2019-10-14 14:46:09,TRUE,"1183734199125266432","1183755877830012928","95528218","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","paulmgower",0,FALSE,FALSE,NA,NA
"Our Happiness - Positivity Pole at @Sbux_Perinton #starbucks I love it!!! <U+0001F495><U+0001F495> https://t.co/jiNwMrjCfB",FALSE,6,NA,2019-10-14 14:40:31,FALSE,NA,"1183754460734087175",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","WubsNet",1,FALSE,FALSE,NA,NA
"For today, I am Nyssa of Traken. #starbucks #awhovianinstarbucks <U+0001F496><U+0001F49C><U+0001F31F><U+2728><U+2615><U+FE0F> https://t.co/OOXk2uLqOL",FALSE,0,NA,2019-10-14 14:40:18,FALSE,NA,"1183754407567089664",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","LauraInATARDIS",0,FALSE,FALSE,NA,NA
"RT @masonmalonecom: Enjoy a new ebook or paperback with your favorite #Starbucks beverage!

The Chamala Quest:  A Doctor Liberty Belle Corc…",FALSE,0,NA,2019-10-14 14:40:15,FALSE,NA,"1183754393029611520",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","artyny59",9,TRUE,FALSE,NA,NA
"RT @TinoPlusUltra: Welp the #starbucks lady misspelled my name so I guess I’m “Tim” from now on...  I’ll miss Tino we had a good run https:…",FALSE,0,NA,2019-10-14 14:39:50,FALSE,NA,"1183754290021720067",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KellzShow",1,TRUE,FALSE,NA,NA
"Good Morning world <U+0001F30E>, love the feeling of early morning gaming without any interruptions...let the gaming commence… https://t.co/ApG0lg3X8v",FALSE,4,NA,2019-10-14 14:39:37,TRUE,NA,"1183754234942099457",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MrsIvyStorm",1,FALSE,FALSE,NA,NA
"You know your in a legendary Ski Town like #SunValley when the @Starbucks is shaped like an A-Frame Ski Chalet… https://t.co/A9RW6omMFi",FALSE,1,NA,2019-10-14 14:37:32,TRUE,NA,"1183753712658812928",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","shanemcandrew",0,FALSE,FALSE,NA,NA
"Enter to #win $50 in an #Amazon gift card, #Starbucks gift card, or #Paypal cash in the Hello Fall #Giveaway at… https://t.co/2MhPsjycHl",FALSE,1,NA,2019-10-14 14:37:31,TRUE,NA,"1183753708565254144",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","meadowruby",0,FALSE,FALSE,NA,NA
"#Starbucks expands fertility benefits to cover #surrogacy, boosts reimbursements https://t.co/ZaW6gvsPig",FALSE,0,NA,2019-10-14 14:30:04,FALSE,NA,"1183751833010855937",NA,"<a href=""http://postplanner.com"" rel=""nofollow"">Post Planner Inc.</a>","24x7esubmission",1,FALSE,FALSE,NA,NA
