Player,Pos,Height,Weight,Birthdate,Country,Experience,College,Salary,Age,Height_cm,College,Player_2
rodney hood,SG,8-Jun,206,33897,us,0,"Mississippi State, Duke",1290360,21,203.2,Mississippi State,"Hood, Rodney"
al horford,C,10-Jun,245,31566,do,7,Florida,12000000,28,208.28,Florida,"Horford, Al"
dwight howard,C,11-Jun,265,31389,us,10,,21436271,28,210.82,,"Howard, Dwight"
lester hudson,SG,3-Jun,190,30901,us,3,University of Tennessee at Martin,55774,30,190.5,University of Tennessee at Martin,"Hudson, Lester"
robbie hummel,SF,8-Jun,215,32575,us,1,Purdue,880000,25,203.2,Purdue,"Hummel, Robbie"
kris humphries,PF,9-Jun,235,31084,us,10,Minnesota,4300000,29,205.74,Minnesota,"Humphries, Kris"
serge ibaka,PF,10-Jun,235,32769,cg,5,,12350000,25,208.28,,"Ibaka, Serge"
andre iguodala,SF,6-Jun,215,30709,us,10,Arizona,12289544,30,198.12,Arizona,"Iguodala, Andre"
ersan ilyasova,PF,10-Jun,235,31912,tr,6,,7900000,27,208.28,,"Ilyasova, Ersan"
jon ingles,SF,8-Jun,226,32052,au,0,,507336,26,203.2,,"Ingles, Joe"
kyrie irving,PG,3-Jun,193,33686,au,3,Duke,7070730,22,190.5,Duke,"Irving, Kyrie"
jarrett jack,PG,3-Jun,200,30617,us,9,Georgia Tech,6300000,30,190.5,Georgia Tech,"Jack, Jarrett"
reggie jackson,PG,3-Jun,208,32979,it,3,Boston College,2204370,24,190.5,Boston College,"Jackson, Reggie"
bernard james,C,10-Jun,240,31085,us,2,Florida State,915243,29,208.28,Florida State,"James, Bernard"
lebron james,SF,8-Jun,250,31046,us,11,,20644400,29,203.2,,"James, LeBron"
al jefferson,C,10-Jun,289,31051,us,10,,13666667,29,208.28,,"Jefferson, Al"
cory jefferson,PF,9-Jun,218,33233,us,0,Baylor,507336,23,205.74,Baylor,"Jefferson, Cory"
richard jefferson,SF,7-Jun,233,29393,us,13,Arizona,1448490,34,200.66,Arizona,"Jefferson, Richard"
john jenkins,SG,4-Jun,215,33303,us,2,Vanderbilt,1312920,23,193.04,Vanderbilt,"Jenkins, John"
brandon jennings,PG,1-Jun,170,32774,us,5,,8000000,25,185.42,,"Jennings, Brandon"
jonas jerebko,PF,10-Jun,231,31838,se,4,,4500000,27,208.28,,"Jerebko, Jonas"
grant jerrett,PF,10-Jun,235,34158,us,0,Arizona,816481,21,208.28,Arizona,"Jerrett, Grant"
amir johnson,PF,9-Jun,240,31898,us,9,,7000000,27,205.74,,"Johnson, Amir"
chris johnson,SF,6-Jun,206,32992,us,2,Dayton,107674,24,198.12,Dayton,"Johnson, Chris"
james johnson,PF,8-Jun,240,31828,us,5,Wake Forest,2500000,27,203.2,Wake Forest,"Johnson, James"
joe johnson,SG,7-Jun,240,29766,us,13,Arkansas,23180790,33,200.66,Arkansas,"Johnson, Joe"
nick johnson,SG,3-Jun,202,33960,us,0,Arizona,507336,21,190.5,Arizona,"Johnson, Nick"
tyler johnson,SG,4-Jun,190,33731,us,0,Fresno State,507336,22,193.04,Fresno State,"Johnson, Tyler"
wesley johnson,SF,7-Jun,215,31969,us,4,"Iowa State, Syracuse",981084,27,200.66,Iowa State,"Johnson, Wesley"
dahntay jones,SF,6-Jun,225,29582,us,10,"Rutgers University, Duke",387632,33,198.12,Rutgers University,"Jones, Dahntay"
